config	seed	trials	success%	medCyclesToFood	meanCyclesAll	meanDistPx	spikesPerCycle	meanAbsLR	meanLR
control	20260914	40	100	556.5	660	836	30.683	109.1	-2.14
aux-off	20260914	40	62.5	810	1314	1698	31.504	112	-2.25
ct-strong-1x	20260914	40	12.5	1460	1936	2501	31.913	113.8	-2.26
ct-strong-4x	20260914	40	0	-	2000	2581	31.962	113.7	-2.26
ct-off	20260914	40	100	632	661	838	30.724	108.6	-2.17
all-off	20260914	40	47.5	789	1440	1860	31.536	112.1	-2.23
